fips_code,state_code,state_name,county_name,county_code
01001,01,Alabama,Autauga County,001
01003,01,Alabama,Baldwin County,003
01005,01,Alabama,Barbour County,005
01007,01,Alabama,Bibb County,007
01009,01,Alabama,Blount County,009
01011,01,Alabama,Bullock County,011
01013,01,Alabama,Butler County,013
01015,01,Alabama,Calhoun County,015
01017,01,Alabama,Chambers County,017
01019,01,Alabama,Cherokee County,019
01021,01,Alabama,Chilton County,021
01023,01,Alabama,Choctaw County,023
01025,01,Alabama,Clarke County,025
01027,01,Alabama,Clay County,027
01029,01,Alabama,Cleburne County,029
01031,01,Alabama,Coffee County,031
01033,01,Alabama,Colbert County,033
01035,01,Alabama,Conecuh County,035
01037,01,Alabama,Coosa County,037
01039,01,Alabama,Covington County,039
01041,01,Alabama,Crenshaw County,041
01043,01,Alabama,Cullman County,043
01045,01,Alabama,Dale County,045
01047,01,Alabama,Dallas County,047
01049,01,Alabama,DeKalb County,049
01051,01,Alabama,Elmore County,051
01053,01,Alabama,Escambia County,053
01055,01,Alabama,Etowah County,055
01057,01,Alabama,Fayette County,057
01059,01,Alabama,Franklin County,059
01061,01,Alabama,Geneva County,061
01063,01,Alabama,Greene County,063
01065,01,Alabama,Hale County,065
01067,01,Alabama,Henry County,067
01069,01,Alabama,Houston County,069
01071,01,Alabama,Jackson County,071
01073,01,Alabama,Jefferson County,073
01075,01,Alabama,Lamar County,075
01077,01,Alabama,Lauderdale County,077
01079,01,Alabama,Lawrence County,079
01081,01,Alabama,Lee County,081
01083,01,Alabama,Limestone County,083
01085,01,Alabama,Lowndes County,085
01087,01,Alabama,Macon County,087
01089,01,Alabama,Madison County,089
01091,01,Alabama,Marengo County,091
01093,01,Alabama,Marion County,093
01095,01,Alabama,Marshall County,095
01097,01,Alabama,Mobile County,097
01099,01,Alabama,Monroe County,099
01101,01,Alabama,Montgomery County,101
01103,01,Alabama,Morgan County,103
01105,01,Alabama,Perry County,105
01107,01,Alabama,Pickens County,107
01109,01,Alabama,Pike County,109
01111,01,Alabama,Randolph County,111
01113,01,Alabama,Russell County,113
01115,01,Alabama,St. Clair County,115
01117,01,Alabama,Shelby County,117
01119,01,Alabama,Sumter County,119
01121,01,Alabama,Talladega County,121
01123,01,Alabama,Tallapoosa County,123
